title,name,medium,date,country,image_url,objectURL,department
Headrest,,Wood,1800,South Africa,https://images.metmuseum.org/CRDImages/ao/original/DP-19506-004.jpg,https://www.metmuseum.org/art/collection/search/787722,The Michael C. Rockefeller Wing
Pochette,,Wood,1800,Italy,,https://www.metmuseum.org/art/collection/search/503411,Musical Instruments
Prayer book with case (mahdar),Wäldä Maryam,"Parchment (vellum), pigment (red, blue, ochre, and black), leather, wood, string",1800,Ethiopia,https://images.metmuseum.org/CRDImages/ao/original/book3.jpg,https://www.metmuseum.org/art/collection/search/307602,The Michael C. Rockefeller Wing
Two Fat Peasant Women,Constantin Guys,"Brush and gray wash, over graphite",1800,France,https://images.metmuseum.org/CRDImages/dp/original/DP806702.jpg,https://www.metmuseum.org/art/collection/search/337261,Drawings and Prints
Pot Fair Cambridge,Thomas Rowlandson,Hand-colored etching,1803,,https://images.metmuseum.org/CRDImages/dp/original/DP879741.jpg,https://www.metmuseum.org/art/collection/search/775435,Drawings and Prints
The College Gate,Thomas Rowlandson,Hand-colored etching,1803,,https://images.metmuseum.org/CRDImages/dp/original/DP879742.jpg,https://www.metmuseum.org/art/collection/search/775437,Drawings and Prints
The Holy Friar,Thomas Rowlandson,Hand-colored etching,1807,,https://images.metmuseum.org/CRDImages/dp/original/DP873831.jpg,https://www.metmuseum.org/art/collection/search/742830,Drawings and Prints
The Corsican Spider in His Web!,Thomas Rowlandson,Hand-colored etching,1808,,https://images.metmuseum.org/CRDImages/dp/original/DP809029.jpg,https://www.metmuseum.org/art/collection/search/392746,Drawings and Prints
The Corsican Spider in His Web!,Thomas Rowlandson,Hand-colored etching,1808,,https://images.metmuseum.org/CRDImages/dp/original/DP881740.jpg,https://www.metmuseum.org/art/collection/search/812115,Drawings and Prints
Dropsy Courting Consumption,Thomas Rowlandson,Hand-colored etching,1810,,https://images.metmuseum.org/CRDImages/dp/original/DP808147.jpg,https://www.metmuseum.org/art/collection/search/392773,Drawings and Prints
Dropsy Courting Consumption,Thomas Rowlandson,Hand-colored etching,1810,,https://images.metmuseum.org/CRDImages/dp/original/DP818515.jpg,https://www.metmuseum.org/art/collection/search/398458,Drawings and Prints
English Exhibitions in Paris or French People Astonished at Our Improvement in the Breed of Fat Cattle,Thomas Rowlandson,Hand-colored etching,1812,,https://images.metmuseum.org/CRDImages/dp/original/DP881752.jpg,https://www.metmuseum.org/art/collection/search/811908,Drawings and Prints
English Exhibitions in Paris or French People Astonished at Our Improvement in the Breed of Fat Cattle,Thomas Rowlandson,Hand-colored etching,1812,,https://images.metmuseum.org/CRDImages/dp/original/DP883809.jpg,https://www.metmuseum.org/art/collection/search/788053,Drawings and Prints
New Years Greeting showing a table laden with food,Joseph Jakob Martin Eder,"Heavy card stock, lithography, watercolor, thread",1815,,,https://www.metmuseum.org/art/collection/search/811873,Drawings and Prints
Sketchbook of Figure Studies,Thomas Sully,"Cardboard (cover)
Drawings in ink, wash, and graphite on light brown laid paper with fibers of mixed composition (sheets)",1815,,https://images.metmuseum.org/CRDImages/ad/original/195745.jpg,https://www.metmuseum.org/art/collection/search/12688,The American Wing
Two Female Nudes; Seated Male Nude (after Michelangelo?); Three Equestrian Figures (from Sketchbook),Thomas Sully,"Pen, iron-gaul ink and graphite on off-white laid paper",1815,,https://images.metmuseum.org/CRDImages/ad/original/ADA3153.jpg,https://www.metmuseum.org/art/collection/search/16372,The American Wing
George III pattern sovereign with St. George reverse,Benedetto Pistrucci,Gold,1817,,https://images.metmuseum.org/CRDImages/es/original/DP100376.jpg,https://www.metmuseum.org/art/collection/search/210240,European Sculpture and Decorative Arts
George III pattern sovereign with St. George reverse,Benedetto Pistrucci,Gold,1820,,https://images.metmuseum.org/CRDImages/es/original/DP100377.jpg,https://www.metmuseum.org/art/collection/search/210241,European Sculpture and Decorative Arts
"Entry, or Lord Fat Cheeks (Entrée, ou Milord-Gorju)",Nicolas-Toussaint Charlet,Lithograph,1821,,https://images.metmuseum.org/CRDImages/dp/original/DP808686.jpg,https://www.metmuseum.org/art/collection/search/393863,Drawings and Prints
Infant Bacchus with Grapes,Joseph Gott,Terracotta; marble,1824,,https://images.metmuseum.org/CRDImages/es/original/DP-21676-029.jpg,https://www.metmuseum.org/art/collection/search/773277,European Sculpture and Decorative Arts
King Henry IV,William Heath ('Paul Pry'),Hand-colored etching,1827,,https://images.metmuseum.org/CRDImages/dp/original/DP858604.jpg,https://www.metmuseum.org/art/collection/search/710350,Drawings and Prints
"The Great Pyramid, Giza",Adrien Dauzats,Oil on canvas,1830,,https://images.metmuseum.org/CRDImages/ep/original/DP354137.jpg,https://www.metmuseum.org/art/collection/search/441357,European Paintings
Piece,,Cotton,1840,,https://images.metmuseum.org/CRDImages/es/original/DP5338.jpg,https://www.metmuseum.org/art/collection/search/226248,European Sculpture and Decorative Arts
Figure: Female (Akua Ba),,"Wood, beads, fiber",1850,Ghana,,https://www.metmuseum.org/art/collection/search/310941,The Michael C. Rockefeller Wing
Staff with Snuff Vessels,,Wood,1850,South Africa,,https://www.metmuseum.org/art/collection/search/316792,The Michael C. Rockefeller Wing
Blue Monday,Currier & Ives,Hand-colored lithograph,1864,,,https://www.metmuseum.org/art/collection/search/397394,Drawings and Prints
"Looking at a Manet painting, from 'Sketches from the Salon,' published in Le Charivari, June 19, 1865",Honoré Daumier,Lithograph on newsprint; second state of two (Delteil),1865,,https://images.metmuseum.org/CRDImages/dp/original/DP877366.jpg,https://www.metmuseum.org/art/collection/search/754576,Drawings and Prints
A seated fat lady,Sir Edward Burne-Jones,Pen and ink on lined blue paper,1866,,https://images.metmuseum.org/CRDImages/dp/original/DP-21085-001.jpg,https://www.metmuseum.org/art/collection/search/756455,Drawings and Prints
Broadside with 48 scenes illusrating  the misfortunes of a fat man,José María Marés,Wood engraving,1867,,https://images.metmuseum.org/CRDImages/dp/original/DP875582.jpg,https://www.metmuseum.org/art/collection/search/760375,Drawings and Prints
"Too fat, from 'News of the day,' published in Le Charivari, November 16, 1867",Honoré Daumier,Lithograph and Ink,1867,,https://images.metmuseum.org/CRDImages/dp/original/DP877660.jpg,https://www.metmuseum.org/art/collection/search/755776,Drawings and Prints
Jack in Office,Sir Edwin Henry Landseer,Color process,1869,,,https://www.metmuseum.org/art/collection/search/654457,Drawings and Prints
Bull's Head Tavern,William P. Chappel,Oil on slate paper,1870,,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-023.jpg,https://www.metmuseum.org/art/collection/search/10443,The American Wing
"The ""Bab"" Ballads, Much Sound and Little Sense",William Schwenck Gilbert,Illustrations: woodcut,1870,,,https://www.metmuseum.org/art/collection/search/359372,Drawings and Prints
"The Fat Cow Invaded..., from ""Actualités""","CHAM (Amédée Charles Henri, Comte de Noé)",Lithograph,1872,,,https://www.metmuseum.org/art/collection/search/722803,Drawings and Prints
Vase Nº 2980,Tiffany & Co.,"Ink, graphite, and crayon on heavy cream board/card",1872,United States,,https://www.metmuseum.org/art/collection/search/19109,The American Wing
"A fat british man in a wig, bound in L'Oeuvre original de Vivant Denon. Collection de eaux-fortes, Volume 2",Baron Dominique Vivant Denon,Lithograph,1873,France,,https://www.metmuseum.org/art/collection/search/642610,Drawings and Prints
Prize Fat Cattle,Currier & Ives,Hand-colored lithograph,1873,,,https://www.metmuseum.org/art/collection/search/850503,Drawings and Prints
Redemption – Repudiation : Prosperity – Ruin,Currier & Ives,Lithograph,1875,,,https://www.metmuseum.org/art/collection/search/397198,Drawings and Prints
In and Out of Condition,Thomas B. Worth,Hand-colored Lithograph,1877,,,https://www.metmuseum.org/art/collection/search/910714,Drawings and Prints
"The Parable of the Prodigal Son, No. IV: The Fatted Calf",James Tissot,Etching on laid paper; second state of two,1882,,https://images.metmuseum.org/CRDImages/dp/original/DP884535.jpg,https://www.metmuseum.org/art/collection/search/368083,Drawings and Prints
"A Fair Start: ""Take de water togedder when yous hear de shot!""",King & Murphy,Lithograph,1884,,,https://www.metmuseum.org/art/collection/search/902379,Drawings and Prints
Copped at a Cock Fight,Thomas B. Worth,Lithograph,1884,,,https://www.metmuseum.org/art/collection/search/888611,Drawings and Prints
The Darktown Hook and Ladder Corps: In Action,King & Murphy,Hand-colored lithograph,1884,,,https://www.metmuseum.org/art/collection/search/894468,Drawings and Prints
A Literary Debate in the Darktown Club: The Question Settled,Thomas B. Worth,"Lithograph, printed in color",1885,,,https://www.metmuseum.org/art/collection/search/912860,Drawings and Prints
"The Darktown Fire Brigade -- Hook and Ladder Gymnastics: ""Brace her up dar! and cotch her on de fly!""",Currier & Ives,"Lithograph, printed in color",1887,,,https://www.metmuseum.org/art/collection/search/892772,Drawings and Prints
"Engraved pearl shell and hair-string belt (riji, or jakoli, longkalongka)",,"Pearl shell, human hair, ocher",1900,Australia,,https://www.metmuseum.org/art/collection/search/313729,The Michael C. Rockefeller Wing
Female Fertility Figure (Akuaba),Asante artist,"Wood, beads, string",1900,Ghana,,https://www.metmuseum.org/art/collection/search/312279,The Michael C. Rockefeller Wing
The Old Duchess,George Luks,Oil on canvas,1905,,,https://www.metmuseum.org/art/collection/search/19263,The American Wing
"Nobody Loves A Fat Man, from the ""Mutt and Jeff"" series (T88),  issued with Sweet Caporal Cigarettes by Kinney Brothers Tobacco Company",Tad Dorgan,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785326,Drawings and Prints
"Nobody Loves A Fat Man, from the ""Mutt and Jeff"" series (T88),  issued with Sweet Caporal Cigarettes by Kinney Brothers Tobacco Company",Tad Dorgan,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785331,Drawings and Prints
"Nobody Loves A Fat Man, from the ""Mutt and Jeff"" series (T88), issued by Kinney Brothers Tobacco Company",Tad Dorgan,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785161,Drawings and Prints
"Nobody Loves a Fat Man, from the ""Mutt and Jeff"" series (T88), issued with Sweet Caporal Cigarettes by Kinney Brothers Tobacco Company",Tad Dorgan,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785045,Drawings and Prints
"Nobody Loves A Fat Man, from the ""Mutt and Jeff"" series (T88), issued with Sweet Caporal Cigarettes by Kinney Brothers Tobacco Company",Rube Goldberg,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785119,Drawings and Prints
"Nobody Loves A Fat Man, from the ""Mutt and Jeff"" series (T88), issued with Sweet Caporal Cigarettes by Kinney Brothers Tobacco Company",Tad Dorgan,Lithograph,1910,,,https://www.metmuseum.org/art/collection/search/785145,Drawings and Prints
September Morn,Paul Chabas,Oil on canvas,1912,,,https://www.metmuseum.org/art/collection/search/488977,Modern and Contemporary Art
Garbage is valuable,United States Food Administration,Lithograph,1917,,,https://www.metmuseum.org/art/collection/search/738112,Drawings and Prints
[Alma Mahler Doll Made for Oskar Kokoschka by Hermine Moos],Unknown,Gelatin silver print,1919,,,https://www.metmuseum.org/art/collection/search/811532,Photographs
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746343,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746354,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746357,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746366,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746359,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746352,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746368,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746365,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746362,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746370,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746369,Drawings and Prints
Trade card from the Fat and Skinny Their Little Pup Too series (W500),,Lithograph,1920,,,https://www.metmuseum.org/art/collection/search/746349,Drawings and Prints
Dance of Death in Seven Tempos (Dood - Dans in Zeven Tempos),Nicolas Mathieu Eekman,Frieze of seven woodcuts plus title printed on Toshi paper with a woodcut cover printed  on thick oatmeal paper,1924,,,https://www.metmuseum.org/art/collection/search/856910,Drawings and Prints
Fat Claude and her Girlfriend at Le Monocle,Brassaï,Gelatin silver print,1932,,,https://www.metmuseum.org/art/collection/search/283310,Photographs
"Henry on roller skates pushed by a fat man's stomach, from the ""Little Henry"" (T78), issued with Tareyton Cigarettes by the R. J. Reynolds Tobacco Company",Carl Thomas Anderson,Lithograph,1936,,,https://www.metmuseum.org/art/collection/search/782235,Drawings and Prints
"[Five 35mm Film Frames: Subway Passengers, New York City: Two Men in Suits]",Walker Evans,Film negative,1938,,,https://www.metmuseum.org/art/collection/search/278634,Photographs
"[Five 35mm Film Frames: Subway Passengers, New York City: Two Men in Suits]",Walker Evans,Film negative,1938,,,https://www.metmuseum.org/art/collection/search/278624,Photographs
"[Five 35mm Film Frames: Subway Passengers, New York City: Two Men in Suits]",Walker Evans,Film negative,1938,,,https://www.metmuseum.org/art/collection/search/278629,Photographs
Engraved pearl shell with human hair string,,"Carved Australian Gold-Lipped Pearl Shell, Pinctada Maxima [not endangered], natural earth pigments, human hair",1940,Western Australia,,https://www.metmuseum.org/art/collection/search/778898,The Michael C. Rockefeller Wing
The Ambassador of Good Will,George Grosz,Oil on canvas,1943,,,https://www.metmuseum.org/art/collection/search/488091,Modern and Contemporary Art
